Id,PostId,VoteTypeId,CreationDate,UserId,BountyAmount
32500,1267,2,10/04/2016 0:00,,
32501,7459,10,10/04/2016 0:00,,
32502,7501,2,10/04/2016 0:00,,
32503,7290,2,10/04/2016 0:00,,
32504,7505,2,10/04/2016 0:00,,
32505,3850,5,10/04/2016 0:00,10537,
32506,7494,2,10/04/2016 0:00,,
32507,7500,2,10/04/2016 0:00,,
32509,7507,3,10/04/2016 0:00,,
32510,7434,5,10/04/2016 0:00,9822,
32511,7502,2,10/04/2016 0:00,,
32512,3850,2,10/04/2016 0:00,,
32513,7505,2,10/04/2016 0:00,,
32514,1545,5,11/04/2016 0:00,6981,
32515,7502,2,11/04/2016 0:00,,
32516,266,5,11/04/2016 0:00,10962,
32517,7506,2,11/04/2016 0:00,,
32518,7491,2,11/04/2016 0:00,,
32519,7510,16,11/04/2016 0:00,,
32520,7507,15,11/04/2016 0:00,,
32521,4627,15,11/04/2016 0:00,,
32522,7507,3,11/04/2016 0:00,,
32523,7507,10,11/04/2016 0:00,,
32524,7511,2,11/04/2016 0:00,,
32525,7513,2,11/04/2016 0:00,,
32526,7511,2,11/04/2016 0:00,,
32527,7511,2,11/04/2016 0:00,,
32528,7498,2,11/04/2016 0:00,,
32529,1781,2,11/04/2016 0:00,,
32530,7514,2,11/04/2016 0:00,,
32531,7513,2,11/04/2016 0:00,,
32532,7512,2,11/04/2016 0:00,,
32533,7508,2,11/04/2016 0:00,,
32534,7511,2,11/04/2016 0:00,,
32535,7510,2,11/04/2016 0:00,,
32536,7509,2,11/04/2016 0:00,,
32537,7506,2,11/04/2016 0:00,,
32538,7504,2,11/04/2016 0:00,,
32539,7505,2,11/04/2016 0:00,,
32540,7290,2,11/04/2016 0:00,,
32541,7503,2,11/04/2016 0:00,,
32542,7503,2,11/04/2016 0:00,,
32543,7509,2,12/04/2016 0:00,,
32544,7460,2,12/04/2016 0:00,,
32545,7476,2,12/04/2016 0:00,,
32546,603,2,12/04/2016 0:00,,
32547,7513,2,12/04/2016 0:00,,
32548,3850,2,12/04/2016 0:00,,
32549,4101,2,12/04/2016 0:00,,
32550,7515,2,12/04/2016 0:00,,
32551,7514,5,12/04/2016 0:00,10622,
32552,562,5,12/04/2016 0:00,10622,
